country,year,banking,currency,inflation,sovereign_debt,any_crisis,source
Sri Lanka,2023,0,1,1,1,1,Manual: post-2016 (IMF press releases + news)
Sri Lanka,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2010,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2011,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2013,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2014,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2015,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2016,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Switzerland,2017,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2018,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2019,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2020,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2021,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2022,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2023,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Switzerland,2024,0,0,0,0,0,Manual: post-2016 (IMF press releases + news)
Turkey,2010,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Turkey,2011,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Turkey,2012,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Turkey,2013,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Turkey,2014,0,1,0,0,1,Reinhart-Rogoff 2016 (HBS Global Crises Data)
Turkey,2015,0,0,0,0,0,Reinhart-Rogoff 2016 (HBS Global Crises Data)
